,num_inputs,num_features,num_outputs,cycles,time (μs),effective bandwidth (GiB/s)
0,16.0,16.0,32.0,1388.6203125,0.7506055743243243,2.5410854846794027
0,16.0,16.0,64.0,1484.3771875,0.8023660472972972,4.754317981020611
0,16.0,16.0,128.0,1597.8359375,0.8636951013513514,8.833450139140538
0,16.0,16.0,256.0,1651.3228125,0.8926069256756758,17.094649883079754
0,16.0,16.0,512.0,1637.7396875,0.8852646959459459,34.47285484949099
0,16.0,16.0,1024.0,1669.0678125,0.9021988175675676,67.6516137767198
0,16.0,16.0,2048.0,1772.2746875,0.9579863175675675,127.4238583712472
0,16.0,16.0,4096.0,1871.3790625,1.01155625,241.35166675999895
0,16.0,16.0,8192.0,2128.2790625,1.1504211148648649,424.4373282103339
0,16.0,16.0,16384.0,2336.0303125,1.2627190878378378,773.3810692093606
0,16.0,16.0,32768.0,3168.6771875,1.7127984797297295,1140.31262990534
0,16.0,32.0,32.0,1566.6221875,0.846822804054054,4.504720111985478
0,16.0,32.0,64.0,1650.8515625,0.892352195945946,8.549757118325415
0,16.0,32.0,128.0,1699.0528125,0.9184069256756757,16.614412684548274
0,16.0,32.0,256.0,1643.1540625,0.8881913851351351,34.35925780230518
0,16.0,32.0,512.0,1661.1459375,0.8979167229729731,67.97422434374447
0,16.0,32.0,1024.0,1761.3628125,0.9520880067567568,128.2134010141959
0,16.0,32.0,2048.0,1925.2740625,1.0406886824324326,234.5953399842718
0,16.0,32.0,4096.0,2146.9321875,1.160503885135135,420.74939216060443
0,16.0,32.0,8192.0,2473.9121875,1.3372498310810812,730.2771427348641
0,16.0,32.0,16384.0,3246.3934375,1.7548072635135137,1113.014308991351
0,16.0,32.0,32768.0,4168.5271875,2.2532579391891887,1733.6013738991232
0,16.0,64.0,32.0,1526.7503125,0.8252704391891892,9.244729738630802
0,16.0,64.0,64.0,1556.4809375,0.8413410472972971,18.136281273498984
0,16.0,64.0,128.0,1693.6884375,0.9155072635135135,33.33408512670208
0,16.0,64.0,256.0,1748.9090625,0.9453562500000001,64.56318139626838
0,16.0,64.0,512.0,1752.2778125,0.947177195945946,128.8781153223393
0,16.0,64.0,1024.0,1886.4515625,1.0197035472972973,239.42324372628133
0,16.0,64.0,2048.0,2161.8946875,1.168591722972973,417.8375286170494
0,16.0,64.0,4096.0,2541.0621875,1.3735471283783784,710.9788084807174
0,16.0,64.0,8192.0,3261.1340625,1.7627751689189188,1107.9835409173697
0,16.0,64.0,16384.0,4507.7378125,2.436615033783784,1603.1462352409583
