,num_inputs,num_features,num_outputs,cycles,time (μs),effective bandwidth (GiB/s)
0,16.0,16.0,32.0,2502.8834375,1.3529099662162165,1.4098124469649724
0,16.0,16.0,64.0,2581.3484375,1.3953234797297296,2.733917045678014
0,16.0,16.0,128.0,2641.3246875,1.4277430743243245,5.343676441369552
0,16.0,16.0,256.0,2846.1228125,1.5384447635135134,9.918324042270688
0,16.0,16.0,512.0,2758.7403125,1.4912109797297293,20.46496663357948
0,16.0,16.0,1024.0,2850.4090625,1.5407616554054056,39.613633867096794
0,16.0,16.0,2048.0,2930.6896875,1.5841565878378379,77.05697447979757
0,16.0,16.0,4096.0,3069.6484375,1.6592694256756755,147.13745990750206
0,16.0,16.0,8192.0,3353.3103125,1.8126001689189193,269.38168469440114
0,16.0,16.0,16384.0,3963.1453125,2.1422407094594593,455.86037231059805
0,16.0,16.0,32768.0,5209.2615625,2.8158170608108106,693.6264119711434
0,16.0,32.0,32.0,2689.4171875,1.4537390202702702,2.624060252980915
0,16.0,32.0,64.0,2707.1790625,1.4633400337837836,5.213686074530168
0,16.0,32.0,128.0,2791.9240625,1.5091481418918924,10.110864482511815
0,16.0,32.0,256.0,2774.9484375,1.4999721283783785,20.3454430002858
0,16.0,32.0,512.0,2865.5809375,1.5489626689189189,39.40390262444391
0,16.0,32.0,1024.0,2943.1240625,1.5908778716216216,76.73143499440975
0,16.0,32.0,2048.0,3087.7584375,1.669058614864865,146.27448402214876
0,16.0,32.0,4096.0,3329.4703125,1.7997136824324327,271.310546660551
0,16.0,32.0,8192.0,3938.9659375,2.129170777027027,458.6586836160748
0,16.0,32.0,16384.0,5147.9121875,2.7826552364864865,701.8926667672455
0,16.0,32.0,32768.0,7614.2734375,4.1158234797297295,949.081063540618
0,16.0,64.0,32.0,2707.3971875,1.4634579391891893,5.213266768025171
0,16.0,64.0,64.0,2756.2915625,1.4898873310810807,10.241576939278042
0,16.0,64.0,128.0,2827.7221875,1.5284984797297299,19.965725295305546
0,16.0,64.0,256.0,2907.7815625,1.5717738175675677,38.83203437963754
0,16.0,64.0,512.0,2973.2434375,1.6071586148648647,75.95413632414784
0,16.0,64.0,1024.0,3105.7446875,1.6787809121621624,145.42735522630278
0,16.0,64.0,2048.0,3347.4784375,1.809447804054054,269.8510265300614
0,16.0,64.0,4096.0,3923.6265625,2.1208792229729725,460.4517958577662
0,16.0,64.0,8192.0,5120.4771875,2.767825506756757,705.653301027016
0,16.0,64.0,16384.0,7512.4753125,4.060797466216216,961.9416575274251
0,16.0,64.0,32768.0,12352.2434375,6.676888344594595,1170.0809922731287
0,16.0,128.0,32.0,2821.8396875,1.52531875,10.003673709106955
0,16.0,128.0,64.0,2809.8540625,1.5188400337837837,20.09269226080914
0,16.0,128.0,128.0,2895.1984375,1.5649721283783782,39.00079707614947
0,16.0,128.0,256.0,2967.9084375,1.604274831081081,76.09069530314962
0,16.0,128.0,512.0,3117.5796875,1.6851782094594594,144.87527885073027
0,16.0,128.0,1024.0,3378.1634375,1.8260342905405407,267.3999368476454
0,16.0,128.0,2048.0,3963.6559375,2.142516722972973,455.8017291370304
0,16.0,128.0,4096.0,5138.0653125,2.7773326013513513,703.2377458531648
0,16.0,128.0,8192.0,7499.8815625,4.0539900337837835,963.556905584732
0,16.0,128.0,16384.0,12234.3609375,6.6131680743243235,1181.3551363145739
0,16.0,128.0,32768.0,21584.9784375,11.667555912162163,1339.183644420786
0,16.0,256.0,32.0,2840.1265625,1.5352035472972971,19.878526427597034
0,16.0,256.0,64.0,2917.4946875,1.5770241554054056,38.70274904432958
0,16.0,256.0,128.0,2976.0909375,1.608697804054054,75.88145741383377
0,16.0,256.0,256.0,3108.7671875,1.680414695945946,145.28597936741505
0,16.0,256.0,512.0,3413.9134375,1.8453586148648649,264.59970118779
0,16.0,256.0,1024.0,3999.1815625,2.1617197635135135,451.7526558438596
